Product; Art. No.; Stock; Price
Sony Xperia Z Ultra C6833 4G 16GB NFC white DE;240281;100;215,0000
Sony Xperia Z1 D5503 Compact 4G NFC 16GB black DE;240320;48;225,0000
Sony Xperia Z1 D5503 Compact 4G NFC 16GB lime EU;340323;1;225,0000
Sony Xperia Z1 D5503 Compact 4G NFC 16GB white EU;340321;0;225,0000
Sony Xperia Z3 D5803 Compact 4G NFC 16GB black DE;240460;50;325,0000
Sony Xperia Z3 D5803 Compact 4G NFC 16GB green EU;340462;0;325,0000
Sony Xperia Z3 D5803 Compact 4G NFC 16GB orange DE;240463;0;325,0000
Sony Xperia Z3 D5803 Compact 4G NFC 16GB white DE;240461;59;325,0000
Sony Xperia Z3 D6603 4G 16G copper Vodafone DE;240513;70;369,0000
Sony Xperia Z3 D6603 4G 16GB NFC white DE;240411;0;379,0000
Sony Xperia Z3 D6603 4G NFC 16GB black EU;340410;15;379,0000
Sony Xperia Z3 D6603 4G NFC 16GB white EU;340411;81;379,0000
Wiko Bloom 4G black DE;290289;4;100,0000
Wiko Bloom 4G purple EU;290295;1;89,5000
Wiko Getaway Dual 16GB champagner DE;290297;16;164,0000
Wiko Getaway Dual 16GB dark blue EU;390271;6;164,0000
Wiko Getaway Dual 16GB navy DE;290271;9;164,0000
Wiko Getaway Dual 16GB pink DE;290272;8;164,0000
Wiko Getaway Dual 16GB white DE;290270;9;164,0000
Wiko Highway Signs Dual 8GB blue DE;290303;6;135,0000
Wiko Highway Signs Dual 8GB white DE;290302;14;135,0000
Wiko Lenny Dual violet/coral DE;290283;2;75,0000
Wiko Rainbow 4G 8GB white EU;390257;15;133,0000
Wiko Rainbow DUAL black DE;290250;18;115,5000
Wiko Rainbow DUAL coral DE;290304;6;115,5000
Wiko Rainbow DUAL pink DE;290253;5;115,5000
Wiko Rainbow DUAL purple DE;290296;6;115,5000
Wiko Rainbow DUAL turquoise DE;290252;4;115,5000
Wiko Rainbow DUAL white DE;290251;7;115,5000
Wiko Rainbow DUAL white EU;290254;17;115,5000
Wiko Rainbow DUAL yellow DE;290255;7;115,5000
Wiko Ridge Fab Dual 4G 16GB bl EU;390310;6;210,0000
Wiko Wax 4G black DE;290260;2;122,0000
Wiko Wax 4G coral DE;290298;9;122,0000
