model;	sku;ean;mpn;	name;description;category;quantity;stock_status;status;image;additional_image;manufacturer;	price;	tax_class;weight 
GG-NFKANEX-XD; ;;KANEX-XD;Kanex - XD Convert your iMac 27-inch Into an HDTV;Νικητής του Macworld Best of Show Award 2010 το Kanex XD παρέχει υψηλή απόδοση και ποιότητα. Προσφέροντας εξαιρετική σχεδίαση και χαρακτηριστικά το Kanex XD προσφέρει premium αποτελέσματα ως λύση σύνδεσης για μια πηγή HDMI στο iMac σας.;ΤΗΛΕΦΩΝΙΑ///ΚΙΝΗΤΑ///ACCESSORIES;28.0;2 - 3 Ημέρες;0;data/csvpic/GG-NFKANEX-XD.jpg;;Kanex;121.14;Κλάση Ι (23% ~ 16%);10.0kg;
GG-NFΚΑΝΕΧ-IADAPTDVI; ;;ΚΑΝΕΧ-IADAPTDVI;Kanex - iAdapt DVI Mini DisplayPort to DVI Adapter;Εάν χρησιμοποιείτε μια υπάρχουσα συσκευή Mac με Mini DisplayPort ή επιθυμείτε να αναβαθμίσετε την τελευταία MacBook Pro έχουμε τη λύση. Συνδέστε το Kanex iAdapt VGA από το Mac σας με το Mini DisplayPort ή το  Thunderbolt σε μια τυπική αναλογική οθόνη προβολέα ή οθόνη LCD που χρησιμοποιεί σύνδεση VGA. Η iAdapt DVI μετατρέπει ένα σήμα Mini DisplayPort σε DVI σήμα ώστε να μπορείτε να συνδέσετε το Mac σας σε μια οθόνη DVI ή προβολέα. Κάντε χρήση των DVI συσκευων με το Mac σας.;ΤΗΛΕΦΩΝΙΑ///ΚΙΝΗΤΑ///ACCESSORIES;28.0;2 - 3 Ημέρες;0;data/csvpic/GG-NFΚΑΝΕΧ-IADAPTDVI.jpg;;Kanex;16.22;Κλάση Ι (23% ~ 16%);10.0kg;
GG-NFKANEX-IOSWEBDAV; ;;KANEX-IOSWEBDAV;Kanex - meDrive  File Server for iPad iPhone Mac;Το Kanex meDrive καθιστά εύκολο το ασύρματο backup το να μοιράσει και να σώσει τις οικογενειακές σας φωτογραφίες βίντεο και έγγραφα από τους υπολογιστές τα smartphones ή το tablet σε έναν εξωτερικό σκληρό δίσκο USB. Δεν χρειάζεται να αγοράσετε ένα νέο ακριβό σκληρό δίσκο απλά συνδέστε το meDrive στον υπάρχοντα USB σκληρό δίσκο σας και να ελευθερώσετε χώρο στο smartphone ή το tablet σας και πάρτε backup τις αναμνήσεις σας με ασφάλεια και σιγουριά.;ΤΗΛΕΦΩΝΙΑ///ΚΙΝΗΤΑ///ACCESSORIES;28.0;2 - 3 Ημέρες;0;data/csvpic/GG-NFKANEX-IOSWEBDAV.jpg;;Kanex;56.1;Κλάση Ι (23% ~ 16%);10.0kg;
GG-NFKANEX-WIFIPOINT; ;;KANEX-WIFIPOINT;Kanex - mySpot Travel-Sized Wireless-G Access Point;Το mySpot είναι ένα μικρό-μεγέθους εύκολο στη χρήση Wireless Access Point το οποίο επιτρέπει σε οποιονδήποτε να στήσει το δικό του ιδιωτικό ασφαλές δίκτυο Wi-Fi. Το mySpot δημιουργεί ένα προσωπικό ασύρματο δικτύο από μία Live θύρα Ethernet η οποία παρέχει σύνδεση στο internet που επιτρέπει αξιόπιστη ασύρματη συνδεσιμότητα-g για τις συσκευές σας. Με προσωπικές ρυθμίσεις ασφαλείας το mySpot είναι ιδανικό για το iPhone iPad Macbook και άλλες φορητές συσκευές.;ΤΗΛΕΦΩΝΙΑ///ΚΙΝΗΤΑ///ACCESSORIES;28.0;2 - 3 Ημέρες;0;data/csvpic/GG-NFKANEX-WIFIPOINT.jpg;;Kanex;47.97;Κλάση Ι (23% ~ 16%);10.0kg;
GG-NFKANEX-USB3GBIT3X; ;;KANEX-USB3GBIT3X;Kanex - DualRole USB 3.0 Gigabit Ethernet + 3-Port Hub;Το DualRole είναι ο ιδανικός σύντροφος για το MacBook Air και MacBook Pro με Retina οθόνη για τους χρήστες που χρειάζονται επιπλέον θύρες USB 3.0 για άμεση σύνδεση με περιφερειακές συσκευές και ταυτόχρονα σύνδεση με ένα ασφαλές ενσύρματο δίκτυο Gigabit Ethernet. Είναι επίσης συμβατό με συσκευές USB 2.0.;ΤΗΛΕΦΩΝΙΑ///ΚΙΝΗΤΑ///ACCESSORIES;28.0;2 - 3 Ημέρες;0;data/csvpic/GG-NFKANEX-USB3GBIT3X.jpg;;Kanex;56.1;Κλάση Ι (23% ~ 16%);10.0kg;
GG-NFKANEX-IADAPTVGA; ;;KANEX-IADAPTVGA;Kanex - iAdapt VGA Mini DisplayPort to VGA Adapter;Εάν χρησιμοποιείτε έναν Mac με Mini DisplayPort ή επιθυμείτε να αναβαθμίσετε στην τελευταία έκδοση του MacBook Pro έχουμε τη λύση. Η θύρα Thunderbolt είναι πλήρως συμβατή με τον προσαρμογέα μας. Συνδέστε αυτό το Mini DisplayPort σε ένα VGA αντάπτορα ώστε να μπορείτε να δείτε τα δεδομένα σας σε HDTVs οθόνες και projectors. Επεκτείνετε σε μεγάλο βαθμό τις επιλογές προβολής σας με το iAdapt VGA.;ΤΗΛΕΦΩΝΙΑ///ΚΙΝΗΤΑ///ACCESSORIES;28.0;2 - 3 Ημέρες;0;data/csvpic/GG-NFKANEX-IADAPTVGA.jpg;;Kanex;20.28;Κλάση Ι (23% ~ 16%);10.0kg;
GG-NFKANEX-IADAPTV2; ;;KANEX-IADAPTV2;Kanex - iAdapt V2 Mini DisplayPort to HDMI Adapter with Audio;Μετατροπή Mini DisplayPort σε HDMI για να επεκτείνετε την επιφάνεια εργασίας του Mac σας σε οποιαδήποτε οθόνη HDMI. Μην αισθάνεστε ότι έχετε μείνει πίσω επειδή το Mac σας δεν έρχεται εξοπλισμένο με HDMI. Ο V2 θα λύσει τις ανάγκες σας συνδεσιμότητα HDMI. Εμφανίσετε τα δεδομένα σας στην τηλεόραση HDTV ή σε HD προβολέα με τη V2 συμπεριλαμβανομένων άψογου ήχου pass-through. Δείτε και ακούστε τις αγαπημένες σας ταινίες το τελευταίο επεισόδιο της αγαπημένης σας σειράς στην τηλεόραση ή την iTunes μουσική σας.;ΤΗΛΕΦΩΝΙΑ///ΚΙΝΗΤΑ///ACCESSORIES;28.0;2 - 3 Ημέρες;0;data/csvpic/GG-NFKANEX-IADAPTV2.jpg;;Kanex;24.35;Κλάση Ι (23% ~ 16%);10.0kg;
GG-NFKANEX-TBOLT; ;;KANEX-TBOLT;Kanex - Thunderbolt Cables;Το Thunderbolt  είναι μια υπερ-εθνική οδός με δύο ασταμάτητες λωρίδες PCI Express (δεδομένων) και DisplayPort (video). Μέσα από ένα συμπαγές καλώδιο μπορείτε να συνδέσετε συσκευές δεδομένων υψηλής απόδοσης σε οθόνες υψηλής ανάλυσης. Θέτει το νέο πρότυπο για την ταχύτητα και τις επιδόσεις. Μεταφορά HD ταινιών μεγάλου μήκους σε λιγότερο από 30 δευτερόλεπτα ή Back-up μουσικής MP3 σε λίγα μόνο λεπτά. Το Kanex καλώδιο Thunderbolt εκτελεί σε ποσοστό έως και 10Gbps με bi-directional bandwidth ανά κανάλι με αποτέλεσμα ταχύτητες μεταφοράς δεδομένων 20 φορές πιο γρήγορες από τις σημερινές USB 2.0. Η τεχνολογία Thunderbolt  παρέχει τη μεγαλύτερη ευελιξία στην αγορά σήμερα. Επιτρέπει αλυσιδωτές σύνδεσης σε πολλαπλές συσκευές συμβατές με Thunderbolt περιφερειακά στο Mac σας.  Προσφέροντας στους χρήστες τη δυνατότητα ανάγνωσης / εγγραφής χωρίς μείωση της απόδοσης.;ΤΗΛΕΦΩΝΙΑ///ΚΙΝΗΤΑ///ACCESSORIES;28.0;2 - 3 Ημέρες;0;data/csvpic/GG-NFKANEX-TBOLT.jpg;;Kanex;28.46;Κλάση Ι (23% ~ 16%);10.0kg;
GG-NFKANEX-TBOLT-1m; ;;KANEX-TBOLT-1m;Kanex - Thunderbolt Cables - 1m;Το Thunderbolt  είναι μια υπερ-εθνική οδός με δύο ασταμάτητες λωρίδες PCI Express (δεδομένων) και DisplayPort (video). Μέσα από ένα συμπαγές καλώδιο μπορείτε να συνδέσετε συσκευές δεδομένων υψηλής απόδοσης σε οθόνες υψηλής ανάλυσης. Θέτει το νέο πρότυπο για την ταχύτητα και τις επιδόσεις. Μεταφορά HD ταινιών μεγάλου μήκους σε λιγότερο από 30 δευτερόλεπτα ή Back-up μουσικής MP3 σε λίγα μόνο λεπτά. Το Kanex καλώδιο Thunderbolt εκτελεί σε ποσοστό έως και 10Gbps με bi-directional bandwidth ανά κανάλι με αποτέλεσμα ταχύτητες μεταφοράς δεδομένων 20 φορές πιο γρήγορες από τις σημερινές USB 2.0. Η τεχνολογία Thunderbolt  παρέχει τη μεγαλύτερη ευελιξία στην αγορά σήμερα. Επιτρέπει αλυσιδωτές σύνδεσης σε πολλαπλές συσκευές συμβατές με Thunderbolt περιφερειακά στο Mac σας.  Προσφέροντας στους χρήστες τη δυνατότητα ανάγνωσης / εγγραφής χωρίς μείωση της απόδοσης.;ΤΗΛΕΦΩΝΙΑ///ΚΙΝΗΤΑ///ACCESSORIES;28.0;2 - 3 Ημέρες;0;data/csvpic/GG-NFKANEX-TBOLT-1m.jpg;;Kanex;28.46;Κλάση Ι (23% ~ 16%);10.0kg;
GG-NFKANEX-TBOLT-2m; ;;KANEX-TBOLT-2m;Kanex - Thunderbolt Cables - 2m;Το Thunderbolt  είναι μια υπερ-εθνική οδός με δύο ασταμάτητες λωρίδες PCI Express (δεδομένων) και DisplayPort (video). Μέσα από ένα συμπαγές καλώδιο μπορείτε να συνδέσετε συσκευές δεδομένων υψηλής απόδοσης σε οθόνες υψηλής ανάλυσης. Θέτει το νέο πρότυπο για την ταχύτητα και τις επιδόσεις. Μεταφορά HD ταινιών μεγάλου μήκους σε λιγότερο από 30 δευτερόλεπτα ή Back-up μουσικής MP3 σε λίγα μόνο λεπτά. Το Kanex καλώδιο Thunderbolt εκτελεί σε ποσοστό έως και 10Gbps με bi-directional bandwidth ανά κανάλι με αποτέλεσμα ταχύτητες μεταφοράς δεδομένων 20 φορές πιο γρήγορες από τις σημερινές USB 2.0. Η τεχνολογία Thunderbolt  παρέχει τη μεγαλύτερη ευελιξία στην αγορά σήμερα. Επιτρέπει αλυσιδωτές σύνδεσης σε πολλαπλές συσκευές συμβατές με Thunderbolt περιφερειακά στο Mac σας.  Προσφέροντας στους χρήστες τη δυνατότητα ανάγνωσης / εγγραφής χωρίς μείωση της απόδοσης.;ΤΗΛΕΦΩΝΙΑ///ΚΙΝΗΤΑ///ACCESSORIES;28.0;2 - 3 Ημέρες;0;data/csvpic/GG-NFKANEX-TBOLT-2m.jpg;;Kanex;31.71;Κλάση Ι (23% ~ 16%);10.0kg;
GG-NFKANEX-TBOLT-3m; ;;KANEX-TBOLT-3m;Kanex - Thunderbolt Cables - 3m;Το Thunderbolt  είναι μια υπερ-εθνική οδός με δύο ασταμάτητες λωρίδες PCI Express (δεδομένων) και DisplayPort (video). Μέσα από ένα συμπαγές καλώδιο μπορείτε να συνδέσετε συσκευές δεδομένων υψηλής απόδοσης σε οθόνες υψηλής ανάλυσης. Θέτει το νέο πρότυπο για την ταχύτητα και τις επιδόσεις. Μεταφορά HD ταινιών μεγάλου μήκους σε λιγότερο από 30 δευτερόλεπτα ή Back-up μουσικής MP3 σε λίγα μόνο λεπτά. Το Kanex καλώδιο Thunderbolt εκτελεί σε ποσοστό έως και 10Gbps με bi-directional bandwidth ανά κανάλι με αποτέλεσμα ταχύτητες μεταφοράς δεδομένων 20 φορές πιο γρήγορες από τις σημερινές USB 2.0. Η τεχνολογία Thunderbolt  παρέχει τη μεγαλύτερη ευελιξία στην αγορά σήμερα. Επιτρέπει αλυσιδωτές σύνδεσης σε πολλαπλές συσκευές συμβατές με Thunderbolt περιφερειακά στο Mac σας.  Προσφέροντας στους χρήστες τη δυνατότητα ανάγνωσης / εγγραφής χωρίς μείωση της απόδοσης.;ΤΗΛΕΦΩΝΙΑ///ΚΙΝΗΤΑ///ACCESSORIES;28.0;2 - 3 Ημέρες;0;data/csvpic/GG-NFKANEX-TBOLT-3m.jpg;;Kanex;47.97;Κλάση Ι (23% ~ 16%);10.0kg;
GG-NFKANEX-HDCABLE; ;;KANEX-HDCABLE;Kanex - HDMI Cables with High-Speed Ethernet;Kanex HDMI®  cable lets you connect your Apple TV MacBook or other HDMI device to an HDTV. This single cable solution supports high-definition digital video multi-channel digital audio and 3D for a truly interactive entertainment experience. Get stunning picture and sound right from home.;ΤΗΛΕΦΩΝΙΑ///ΚΙΝΗΤΑ///ACCESSORIES;28.0;2 - 3 Ημέρες;0;data/csvpic/GG-NFKANEX-HDCABLE.jpg;;Kanex;16.22;Κλάση Ι (23% ~ 16%);10.0kg;
GG-NFKANEX-HDCABLE-2m; ;;KANEX-HDCABLE-2m;Kanex - HDMI Cables with High-Speed Ethernet - 2m;Το καλώδιο HDMI ® Kanex σας επιτρέπει να συνδέσετε το Apple TV σας το MacBook ή άλλη συσκευή HDMI σε μια τηλεόραση υψηλής ευκρίνειας. Αυτή η μοναδική λύση στα καλώδια υποστηρίζει υψηλής ευκρίνειας ψηφιακό βίντεο πολυκάναλο ψηφιακό ήχο και 3D για μια πραγματικά διαδραστική εμπειρία ψυχαγωγίας. Απολαύστε εκπληκτική εικόνα και ήχο στο σπίτι σας.;ΤΗΛΕΦΩΝΙΑ///ΚΙΝΗΤΑ///ACCESSORIES;28.0;2 - 3 Ημέρες;0;data/csvpic/GG-NFKANEX-HDCABLE-2m.jpg;;Kanex;16.22;Κλάση Ι (23% ~ 16%);10.0kg;
GG-NFKANEX-MDPDVI10FT; ;;KANEX-MDPDVI10FT;Kanex - iAdapt DVI Cable Single Cable Solution for Mac to Monitor;To Kanex Mini DisplayPort σε DVI καλώδιο είναι μια πριμοδότηση ποιότητας ένα ενεργό καλώδιο αντάπτορα που έχει σχεδιαστεί για τη σύνδεση του Mini DisplayPort σας Mac με single-link DVI-D με  LCD οθόνη προβολέα ή μια οθόνη υπολογιστή όπως η Dell η NEC η HP και πολύ περισσότερα. Το Kanex Mini DisplayPort σε DVI είναι μια απλή λύση καλώδιο που υποστηρίζει ζωντανά χρώματα και ευκρινή ανάλυση από την έξοδο Mini DisplayPort σας σε μια οθόνη DVI. Κατασκευασμένο με τη λογική της εύκολης μεταφοράς μπορείτε να το έχετε μαζί σας οπουδήποτε και αν πάτε.;ΤΗΛΕΦΩΝΙΑ///ΚΙΝΗΤΑ///ACCESSORIES;28.0;2 - 3 Ημέρες;0;data/csvpic/GG-NFKANEX-MDPDVI10FT.jpg;;Kanex;36.54;Κλάση Ι (23% ~ 16%);10.0kg;
GG-NFKANEX-MDPVGA10FT; ;;KANEX-MDPVGA10FT;Kanex - iAdapt VGA Cable - Single Cable Solution for Mac to Projectors;To Kanex Mini DisplayPort σε DVI καλώδιο είναι μια πριμοδότηση ποιότητας ένα ενεργό καλώδιο αντάπτορα που έχει σχεδιαστεί για τη σύνδεση του Mini DisplayPort σας Mac με single-link DVI-D με  LCD οθόνη προβολέα ή μια οθόνη υπολογιστή όπως η Dell η NEC η HP και πολύ περισσότερα. Το Kanex Mini DisplayPort σε DVI είναι μια απλή λύση καλώδιο που υποστηρίζει ζωντανά χρώματα και ευκρινή ανάλυση από την έξοδο Mini DisplayPort σας σε μια οθόνη DVI. Κατασκευασμένο με τη λογική της εύκολης μεταφοράς μπορείτε να το έχετε μαζί σας οπουδήποτε και αν πάτε.;ΤΗΛΕΦΩΝΙΑ///ΚΙΝΗΤΑ///ACCESSORIES;28.0;2 - 3 Ημέρες;0;data/csvpic/GG-NFKANEX-MDPVGA10FT.jpg;;Kanex;36.54;Κλάση Ι (23% ~ 16%);10.0kg;
GG-NFKANEX-MDPHD10FT; ;;KANEX-MDPHD10FT;Kanex - Mini DisplayPort to HDMI Cable;Δείτε τις αγαπημένες σας ταινίες σε full HD με ψηφιακή υποστήριξη ήχου surround. Προβάλλετε το περιεχόμενό σας σε μεγάλη οθόνη HDTV  για μια πλήρη multimedia εμπειρία. Ένα καλώδιο ήχου και βίντεο σημαίνει λιγότερα καλώδια για να συνδέσετε τη συσκευή σας. Υψηλή ευελιξία χαμηλή ακτίνα καμπυλότητας με συμπαγής υποδοχές που ταιριάζει απόλυτα και τακτοποιημένα κάτω από στενούς χώρους.;ΤΗΛΕΦΩΝΙΑ///ΚΙΝΗΤΑ///ACCESSORIES;28.0;2 - 3 Ημέρες;0;data/csvpic/GG-NFKANEX-MDPHD10FT.jpg;;Kanex;36.54;Κλάση Ι (23% ~ 16%);10.0kg;
GG-NFBTKEY; ;;BTKEY;Kanex - Multi-Sync Bluetooth Keyboard;Με το multitasking περνάτε σε ένα νέο επίπεδο. Αυτό το πλήρους μεγέθους ασύρματο πληκτρολόγιο Bluetooth μπορεί να μοιραστεί μεταξύ πολλών συσκευών. Απαντήστε σε ένα κείμενο για το iPhone σας κρατήστε σημειώσεις στο iPad σας πληκτρολογήστε στο Mac σας. Ένα καθαρό λευκού σχεδιασμού και πλήκτρα χαμηλού προφίλ για να σας δώσει μια κομψή και άνετη εμπειρία πληκτρολόγησης.;ΤΗΛΕΦΩΝΙΑ///ΚΙΝΗΤΑ///ACCESSORIES;28.0;2 - 3 Ημέρες;0;data/csvpic/GG-NFBTKEY.jpg;;Kanex;64.23;Κλάση Ι (23% ~ 16%);10.0kg;
GG-NFΚΑΝΕΧ-8PIN; ;;ΚΑΝΕΧ-8PIN;Kanex - Lightning to USB Cable;Το  Kanex 8-pin USB καλώδιο συνδέει το iPhone σας iPad ή iPod με υποδοχή Lightning στη θύρα USB του υπολογιστή σας για συγχρονισμό και φόρτιση. Μπορείτε επίσης να συνδεθείτε σε ένα τροφοδοτικό USB για να φορτίσετε από μια πρίζα ή το φορτιστή αυτοκινήτου.;ΤΗΛΕΦΩΝΙΑ///ΚΙΝΗΤΑ///ACCESSORIES;28.0;2 - 3 Ημέρες;0;data/csvpic/GG-NFΚΑΝΕΧ-8PIN.jpg;;Kanex;15.45;Κλάση Ι (23% ~ 16%);10.0kg;
